ObjectID,Plot,Species,DBH (cm) 2021
450,Plot6,PRSE,11.1
451,Plot7,ABBA,24
452,Plot8,ABBA,14.6
453,Plot9,UNSW,37.5
454,Plot10,ABBA,16.2
455,Plot11,ABBA,12.9
456,Plot12,UNSW,41
457,Plot1,ABBA,22.7
458,Plot2,UNSW,39
459,Plot3,ABBA,20.2
460,Plot4,ABBA,10.7
461,Plot5,ABBA,18.2
462,Plot6,ABBA,17.5
463,Plot7,LALA,16.2
464,Plot8,POTR,12.7
465,Plot9,BEPO,13
466,Plot10,LALA,17.6
467,Plot11,LALA,19.2
468,Plot12,LALA,11.2
469,Plot1,UNSW,25
470,Plot2,LALA,16.3
471,Plot3,LALA,19.2
472,Plot4,LALA,15.6
473,Plot5,ABBA,17.9
474,Plot6,BEPO,15.1
475,Plot7,BEPO,11.6
476,Plot8,ABBA,10.7
477,Plot9,ACRU,11.4
478,Plot10,ACRU,10.9
479,Plot11,BEPO,11.8
480,Plot12,BEPO,14.5
481,Plot1,PRSE,11.9
482,Plot2,ABBA,11.2
483,Plot3,ABBA,19.6
484,Plot4,PRSE,11.7
485,Plot5,PRSE,10.6
486,Plot6,ACRU,14.6
487,Plot7,ABBA,16.5
488,Plot8,ABBA,14.1
489,Plot9,ABBA,14
490,Plot10,ABBA,12.1
491,Plot11,ABBA,10.3
492,Plot12,ABBA,15.1
493,Plot1,ABBA,15.2
494,Plot2,ABBA,10.2
495,Plot3,PRPE,12.1
496,Plot4,BEPA,10.4
497,Plot5,BEPO,10.9
498,Plot6,ABBA,12.3
499,Plot7,PRSE,20
500,Plot8,ABBA,16.2
501,Plot9,BEPO,11
502,Plot10,ABBA,22
503,Plot11,ABBA,16.8
504,Plot12,ABBA,18.7
505,Plot1,ABBA,12
506,Plot2,ABBA,16.7
507,Plot3,UNSW,40
508,Plot4,ABBA,12.2
509,Plot5,ACRU,10.7
510,Plot6,ACRU,13
511,Plot7,ABBA,21.5
512,Plot8,ABBA,13.8
513,Plot9,ABBA,12.8
514,Plot10,ABBA,13.6
515,Plot11,ABBA,16.8
516,Plot12,ABBA,11.2
517,Plot1,ABBA,12.1
518,Plot2,ABBA,10.2
519,Plot3,ABBA,10.4
520,Plot4,BEAL,10.2
521,Plot5,ABBA,11
522,Plot6,ABBA,11.9
523,Plot7,ABBA,13
524,Plot8,ABBA,21.5
525,Plot9,ABBA,16.1
526,Plot10,ABBA,21.6
527,Plot11,UNSW,23
528,Plot12,BEPA,11.1
529,Plot1,ABBA,12.3
530,Plot2,BEPO,18.8
531,Plot3,ABBA,15.5
532,Plot4,ABBA,13.1
533,Plot5,ABBA,20.2
534,Plot6,ABBA,10.6
535,Plot7,ABBA,13.1
536,Plot8,ABBA,13.1
537,Plot9,UNSW,37
538,Plot10,ABBA,11.2
539,Plot11,ABBA,14.6
540,Plot12,LALA,20.5
541,Plot1,ABBA,12.4
542,Plot2,LALA,25.4
543,Plot3,ABBA,12
544,Plot4,LALA,22.6
545,Plot5,LALA,25.4
546,Plot6,LALA,12.4
547,Plot7,BEPO,10.3
548,Plot8,LALA,13.1
549,Plot9,LALA,27.5
550,Plot10,ACRU,18.3
551,Plot11,ACRU,12.9
552,Plot12,ABBA,21
553,Plot1,ABBA,12.1
554,Plot2,ABBA,19.9
555,Plot3,ABBA,22.3
556,Plot4,ABBA,17.4
557,Plot5,ABBA,12.8
558,Plot6,ABBA,15.2
559,Plot7,LALA,12.6
560,Plot8,ABBA,10.2
561,Plot9,ABBA,12
562,Plot10,ABBA,11.6
563,Plot11,BEPA,11.6
564,Plot12,ABBA,12
565,Plot1,LALA,22.3
566,Plot2,LALA,10.2
567,Plot3,LALA,16.1
568,Plot4,LALA,27.9
569,Plot5,BEPA,10.4
570,Plot6,ABBA,11
571,Plot7,ABBA,13.2
572,Plot8,ABBA,22.1
573,Plot9,ABBA,16.8
574,Plot10,UNK,30.1
575,Plot11,UNK,25
576,Plot12,UNK,26.8
577,Plot1,UNK,14.3
578,Plot2,UNK,29.6
579,Plot3,ABBA,21.8
580,Plot4,ABBA,14.7
581,Plot5,ABBA,20.7
582,Plot6,ABBA,14
583,Plot7,ABBA,26.4
584,Plot8,ABBA,11.5
585,Plot9,ABBA,20.1
586,Plot10,ABBA,14.4
587,Plot11,ABBA,20.3
588,Plot12,ABBA,11.1
589,Plot1,ABBA,17.6
590,Plot2,ACRU,13
591,Plot3,ACRU,14.4
592,Plot4,ABBA,16.3
593,Plot5,ABBA,17.3
594,Plot6,ABBA,11.8
595,Plot7,LALA,18.4
596,Plot8,LALA,23.5
597,Plot9,ABBA,14.2
598,Plot10,LALA,23.5
599,Plot11,ABBA,17
600,Plot12,ABBA,12.3
601,Plot1,LALA,15.1
602,Plot2,LALA,29.7
603,Plot3,LALA,11.2
604,Plot4,ABBA,17.9
605,Plot5,ABBA,11.3
606,Plot6,ABBA,17.7
607,Plot7,LALA,13.7
608,Plot8,LALA,13.3
609,Plot9,ABBA,14.2
610,Plot10,LALA,19.5
611,Plot11,LALA,13
612,Plot12,LALA,22.5
613,Plot1,ABBA,11.2
614,Plot2,ABBA,19.8
615,Plot3,LALA,24.6
616,Plot4,LALA,16.4
617,Plot5,UNK,36
618,Plot6,UNK,46.4
619,Plot7,UNK,24
620,Plot8,BEPO,14
621,Plot9,ABBA,27.3
622,Plot10,ABBA,19.1
623,Plot11,ABBA,16.1
624,Plot12,ACRU,13.6
625,Plot1,ABBA,23.1
626,Plot2,ABBA,23.3
627,Plot3,ABBA,23.3
628,Plot4,BEAL,14.1
629,Plot5,BEPO,17.8
630,Plot6,ABBA,21.7
631,Plot7,BEPO,17
632,Plot8,ABBA,17.2
633,Plot9,ABBA,10.7
634,Plot10,ABBA,10.2
635,Plot11,UNK,10.9
636,Plot12,ABBA,11.2
637,Plot1,ABBA,13.3
638,Plot2,ABBA,10.7
639,Plot3,ABBA,12.6
640,Plot4,ABBA,11.1
641,Plot5,BEPO,10.9
642,Plot6,BEPO,17.1
643,Plot7,ABBA,13.6
644,Plot8,ABBA,15.2
645,Plot9,ABBA,13
646,Plot10,ABBA,21.1
647,Plot11,ABBA,16.3
648,Plot12,ABBA,10.7
649,Plot1,ABBA,12.1
650,Plot2,ABBA,14
